epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,4830.16,0.74851,0.53498,1.11464,0.9352,0.88368,0.92417,0.76767,0.7174,0.48936,1.19514,0.00604,0.00604,0.00604
122,4869.55,0.77668,0.54998,1.14304,0.93311,0.86591,0.91895,0.75608,0.72269,0.50426,1.19693,0.006007,0.006007,0.006007
123,4908.95,0.7562,0.54594,1.12249,0.92293,0.82956,0.89991,0.74046,0.72351,0.56129,1.20927,0.005974,0.005974,0.005974
124,4948.32,0.73958,0.53344,1.1085,0.9294,0.89338,0.93195,0.77013,0.70707,0.48309,1.18311,0.005941,0.005941,0.005941
125,4987.68,0.73994,0.53523,1.10815,0.9167,0.88934,0.92792,0.76948,0.70242,0.49458,1.18273,0.005908,0.005908,0.005908
126,5027.06,0.72757,0.52608,1.10363,0.92263,0.88368,0.92651,0.77014,0.72012,0.49621,1.19721,0.005875,0.005875,0.005875
127,5066.39,0.73743,0.52785,1.10914,0.92658,0.87964,0.92663,0.76244,0.72329,0.49107,1.21636,0.005842,0.005842,0.005842
128,5105.73,0.75259,0.5289,1.1136,0.92184,0.86834,0.92402,0.76312,0.70385,0.49896,1.19775,0.005809,0.005809,0.005809
129,5145.14,0.74306,0.53032,1.10752,0.93011,0.88154,0.93028,0.77358,0.69721,0.47835,1.18717,0.005776,0.005776,0.005776
130,5184.49,0.72421,0.51915,1.10159,0.91031,0.85703,0.91432,0.75659,0.71771,0.52901,1.20872,0.005743,0.005743,0.005743
131,5223.84,0.73278,0.51867,1.11058,0.93843,0.85622,0.92178,0.76837,0.7051,0.51526,1.19119,0.00571,0.00571,0.00571
132,5263.21,0.72498,0.51938,1.09359,0.93984,0.88337,0.92753,0.77021,0.71468,0.50247,1.20686,0.005677,0.005677,0.005677
133,5302.58,0.73704,0.53115,1.1096,0.93418,0.8853,0.93201,0.77301,0.70591,0.50781,1.19721,0.005644,0.005644,0.005644
134,5341.95,0.73065,0.52025,1.10688,0.91952,0.8491,0.91125,0.75664,0.71189,0.53808,1.20617,0.005611,0.005611,0.005611
135,5381.35,0.73211,0.52076,1.10029,0.93949,0.85541,0.92605,0.77319,0.70611,0.51379,1.19999,0.005578,0.005578,0.005578
136,5420.72,0.73594,0.55914,1.11699,0.93445,0.8748,0.92844,0.77842,0.70105,0.48418,1.19115,0.005545,0.005545,0.005545
137,5460.08,0.72601,0.51913,1.10748,0.92737,0.81987,0.8953,0.74218,0.72371,0.55073,1.20402,0.005512,0.005512,0.005512
